CityDistrictID,CityDistrictName,ProvinceID
657,Chợ Gạo,57
658,Gò Công,57
659,Gò Công Đông,57
660,Gò Công Tây,57
661,Mỹ Tho,57
662,Tân Phú Đông,57
663,Tân Phước,57
664,Càng Long,59
665,Cầu Kè,59
666,Cầu Ngang,59
667,Châu Thành,59
668,Duyên Hải,59
669,Duyên Hải,59
670,Tiểu Cần,59
671,Trà Cú,59
672,Trà Vinh,59
673,Chiêm Hóa,60
674,Hàm Yên,60
675,Lâm Bình,60
676,Na Hang,60
677,Sơn Dương,60
678,Tuyên Quang,60
679,Yên Sơn,60
680,Bình Minh,61
681,Bình Tân,61
682,Long Hồ,61
683,Mang Thít,61
684,Tam Bình,61
685,Trà Ôn,61
686,Vĩnh Long,61
687,Vũng Liêm,61
688,Bình Xuyên,62
689,Lập Thạch,62
690,Phúc Yên,62
691,Sông Lô,62
692,Tam Đảo,62
693,Tam Dương,62
694,Vĩnh Tường,62
695,Vĩnh Yên,62
696,Yên Lạc,62
697,Lục Yên,63
698,Mù Cang Chải,63
699,Nghĩa Lộ,63
700,Trạm Tấu,63
701,Trấn Yên,63
702,Văn Chấn,63
703,Văn Yên,63
704,Yên Bái,63
705,Yên Bình,63
